recording_id,time,flex0,flex1,flex2,flex3,flex4,accX,accY,accZ,gyroX,gyroY,gyroZ,label
0,276,863,832,823,870,938,-0.677,0.305,-0.668,30.305,-27.588,18.504,Dog
0,280,861,835,821,875,944,-0.688,0.314,-0.670,22.725,-25.214,8.122,Dog
0,284,853,841,825,867,934,-0.699,0.324,-0.670,13.656,-23.664,-0.672,Dog
0,288,852,832,818,872,937,-0.703,0.331,-0.671,5.771,-24.069,-6.061,Dog
0,292,854,827,822,869,931,-0.702,0.336,-0.671,-2.519,-22.756,-9.687,Dog
0,296,860,831,816,867,927,-0.699,0.335,-0.689,-12.176,-20.015,-13.473,Dog
0,300,863,832,818,874,930,-0.706,0.331,-0.696,-20.695,-17.740,-19.489,Dog
0,304,858,833,821,863,944,-0.697,0.325,-0.699,-27.260,-14.443,-27.649,Dog
0,308,855,832,816,867,939,-0.701,0.316,-0.703,-31.679,-11.206,-34.237,Dog
0,312,864,833,816,867,940,-0.707,0.313,-0.694,-35.099,-8.458,-36.908,Dog
0,316,858,831,815,867,935,-0.712,0.313,-0.713,-36.817,-5.916,-35.466,Dog
0,320,870,822,823,868,935,-0.722,0.317,-0.714,-37.038,-3.710,-31.000,Dog
0,324,858,827,816,865,932,-0.716,0.312,-0.708,-35.389,-3.412,-25.450,Dog
0,328,858,831,817,867,931,-0.716,0.303,-0.697,-32.687,-4.267,-20.908,Dog
0,332,863,829,822,871,944,-0.725,0.296,-0.692,-29.008,-6.328,-16.771,Dog
0,336,859,835,816,868,938,-0.727,0.294,-0.677,-24.168,-8.511,-12.802,Dog
0,340,862,833,817,870,943,-0.719,0.286,-0.673,-18.527,-12.183,-7.137,Dog
0,344,859,834,826,872,940,-0.722,0.296,-0.679,-13.290,-15.137,0.763,Dog
0,348,851,832,818,867,935,-0.727,0.299,-0.683,-9.130,-17.740,9.298,Dog
0,352,855,833,818,865,929,-0.729,0.309,-0.692,-6.840,-20.870,16.863,Dog
0,356,852,832,817,870,926,-0.738,0.315,-0.698,-6.855,-23.565,21.092,Dog
0,360,850,817,816,865,938,-0.725,0.311,-0.696,-9.206,-24.962,19.969,Dog
0,364,848,832,821,871,933,-0.720,0.292,-0.685,-10.267,-25.672,15.977,Dog
0,368,862,821,819,874,940,-0.701,0.296,-0.683,-12.107,-25.046,11.962,Dog
0,372,857,829,820,874,937,-0.696,0.291,-0.671,-14.221,-22.802,9.198,Dog
0,376,855,825,831,869,939,-0.687,0.291,-0.667,-14.916,-20.656,7.496,Dog
0,380,853,821,819,874,939,-0.686,0.298,-0.670,-16.244,-18.053,6.908,Dog
0,384,847,816,816,869,935,-0.688,0.299,-0.656,-19.405,-16.168,6.389,Dog
0,388,862,819,820,872,931,-0.689,0.299,-0.657,-22.939,-15.534,4.176,Dog
0,392,849,822,810,865,939,-0.685,0.293,-0.644,-26.244,-15.679,0.305,Dog
0,396,852,823,816,864,944,-0.676,0.292,-0.628,-29.725,-15.313,-3.069,Dog
0,400,848,819,823,867,938,-0.661,0.284,-0.618,-32.656,-15.718,-4.527,Dog
0,404,858,832,821,872,938,-0.656,0.272,-0.592,-32.198,-16.137,-4.183,Dog
0,408,851,823,821,866,938,-0.639,0.269,-0.597,-32.260,-14.985,-2.244,Dog
0,412,866,825,815,872,933,-0.638,0.266,-0.583,-32.573,-13.779,0.069,Dog
0,416,850,825,816,865,943,-0.635,0.258,-0.591,-32.389,-11.504,0.962,Dog
0,420,853,823,820,877,930,-0.633,0.261,-0.602,-32.122,-8.931,1.267,Dog
0,424,858,828,822,869,930,-0.636,0.264,-0.609,-32.847,-4.802,2.649,Dog
0,428,848,818,821,866,941,-0.634,0.256,-0.613,-31.763,0.374,4.656,Dog
0,432,853,826,828,873,934,-0.636,0.270,-0.627,-32.031,7.313,7.878,Dog
0,436,864,821,821,867,942,-0.651,0.271,-0.647,-32.916,14.794,11.504,Dog
0,440,831,808,797,864,935,-0.670,0.284,-0.677,-34.496,21.901,13.282,Dog
0,444,857,830,825,868,937,-0.697,0.297,-0.692,-39.939,27.756,11.802,Dog
0,448,851,819,816,868,944,-0.730,0.296,-0.695,-46.427,31.130,5.321,Dog
0,452,845,829,826,869,937,-0.750,0.289,-0.707,-51.061,31.321,-4.565,Dog
0,456,853,826,816,872,937,-0.766,0.285,-0.701,-55.366,29.267,-12.237,Dog
0,460,854,821,812,874,938,-0.771,0.291,-0.718,-58.221,26.931,-17.168,Dog
0,464,849,822,817,867,927,-0.783,0.283,-0.718,-60.527,25.000,-20.328,Dog
0,468,848,827,819,866,939,-0.785,0.282,-0.728,-61.473,22.313,-23.466,Dog
0,472,848,819,813,870,941,-0.794,0.268,-0.717,-60.832,17.092,-28.221,Dog
0,476,850,828,814,867,941,-0.791,0.262,-0.705,-58.847,10.794,-33.588,Dog
0,480,849,827,821,869,938,-0.774,0.251,-0.681,-55.153,3.985,-36.290,Dog
0,484,845,819,822,869,931,-0.750,0.246,-0.661,-49.298,-2.038,-33.947,Dog
0,488,847,832,816,866,939,-0.723,0.232,-0.635,-40.191,-6.565,-25.275,Dog
0,492,852,817,815,868,938,-0.708,0.231,-0.624,-28.802,-10.321,-10.771,Dog
0,496,852,823,818,867,939,-0.685,0.230,-0.605,-17.771,-11.832,6.168,Dog
0,500,848,819,820,876,938,-0.673,0.234,-0.603,-7.817,-12.893,22.130,Dog
0,504,861,816,818,870,934,-0.666,0.226,-0.599,0.794,-13.611,33.901,Dog
0,508,848,827,818,870,932,-0.663,0.226,-0.600,5.397,-14.679,42.664,Dog
0,512,850,823,821,868,928,-0.657,0.231,-0.587,8.198,-13.702,49.588,Dog
0,516,846,819,819,864,931,-0.634,0.213,-0.584,13.260,-9.679,49.435,Dog
0,520,832,816,813,874,934,-0.641,0.224,-0.590,14.672,-5.534,49.656,Dog
0,524,843,821,817,871,933,-0.636,0.238,-0.586,10.916,1.748,48.573,Dog
0,528,848,826,829,870,943,-0.659,0.233,-0.588,8.092,7.282,42.687,Dog
0,532,848,817,817,874,933,-0.664,0.248,-0.601,1.015,12.145,32.901,Dog
0,536,851,819,818,869,937,-0.685,0.261,-0.617,-8.763,16.802,21.290,Dog
0,540,846,822,817,870,941,-0.690,0.269,-0.634,-18.069,21.870,10.832,Dog
0,544,848,827,827,863,939,-0.696,0.276,-0.642,-26.618,27.374,4.107,Dog
0,548,843,825,818,869,937,-0.707,0.274,-0.658,-35.107,34.405,-0.954,Dog
0,552,846,818,820,870,933,-0.714,0.271,-0.670,-41.412,41.206,-7.641,Dog
0,556,843,827,819,866,938,-0.736,0.268,-0.681,-48.573,46.122,-16.748,Dog
0,560,853,823,818,867,934,-0.755,0.270,-0.689,-55.412,49.779,-27.870,Dog
0,564,848,822,820,868,939,-0.782,0.258,-0.687,-60.351,49.626,-39.046,Dog
0,568,848,821,822,868,939,-0.789,0.257,-0.683,-61.679,46.885,-46.672,Dog
0,572,847,816,816,865,938,-0.801,0.250,-0.673,-59.878,40.954,-49.008,Dog
0,576,845,818,817,871,931,-0.801,0.252,-0.668,-55.214,34.893,-46.053,Dog
0,580,847,819,819,864,944,-0.805,0.241,-0.658,-48.023,27.863,-40.061,Dog
0,584,848,818,826,869,940,-0.804,0.241,-0.657,-40.076,20.053,-33.061,Dog
0,588,847,817,821,869,941,-0.796,0.238,-0.655,-31.718,12.382,-27.565,Dog
0,592,840,822,821,869,943,-0.799,0.229,-0.644,-22.504,3.366,-22.626,Dog
0,596,837,816,821,866,938,-0.775,0.236,-0.641,-14.275,-4.130,-16.481,Dog
0,600,847,814,825,866,933,-0.757,0.231,-0.618,-6.397,-9.557,-6.573,Dog
0,604,845,819,816,874,930,-0.741,0.228,-0.616,3.855,-15.244,7.855,Dog
0,608,847,816,817,868,931,-0.727,0.213,-0.589,16.565,-18.565,18.450,Dog
0,612,839,821,817,866,939,-0.719,0.212,-0.591,26.817,-20.557,26.427,Dog
0,616,848,825,818,871,930,-0.691,0.228,-0.573,31.916,-19.084,32.931,Dog
0,620,849,817,817,863,934,-0.682,0.230,-0.581,35.985,-15.473,37.695,Dog
0,624,845,823,825,868,938,-0.678,0.239,-0.582,39.115,-12.710,41.763,Dog
0,628,842,821,827,867,935,-0.681,0.241,-0.578,39.115,-7.908,42.038,Dog
0,632,849,817,823,870,939,-0.686,0.255,-0.587,36.206,-2.603,37.885,Dog
0,636,843,816,822,869,934,-0.689,0.262,-0.598,31.168,2.366,31.595,Dog
0,640,842,822,815,868,940,-0.707,0.281,-0.604,23.176,6.427,26.580,Dog
0,644,823,800,802,855,912,-0.714,0.291,-0.615,13.015,12.198,21.153,Dog
0,648,847,822,832,869,944,-0.729,0.280,-0.628,2.786,17.282,11.702,Dog
0,652,838,816,819,870,942,-0.740,0.282,-0.629,-6.214,21.557,-2.206,Dog
0,656,846,817,817,867,927,-0.753,0.278,-0.620,-15.252,24.733,-18.008,Dog
0,660,848,820,816,871,937,-0.757,0.281,-0.617,-24.649,26.069,-33.206,Dog
0,664,845,825,822,869,929,-0.767,0.268,-0.615,-32.198,24.405,-47.450,Dog
0,668,845,821,820,873,935,-0.773,0.264,-0.604,-33.977,19.122,-56.053,Dog
0,672,847,821,820,867,944,-0.769,0.270,-0.614,-33.664,14.366,-56.901,Dog
0,676,843,816,816,867,931,-0.768,0.276,-0.612,-32.023,11.672,-50.588,Dog
0,680,848,821,819,870,932,-0.764,0.272,-0.619,-26.466,9.145,-41.611,Dog
0,684,845,821,823,872,934,-0.768,0.267,-0.632,-21.733,7.931,-33.588,Dog
0,688,843,818,816,875,941,-0.756,0.278,-0.641,-20.481,9.786,-29.084,Dog
0,692,848,823,816,869,942,-0.771,0.269,-0.640,-13.748,6.260,-22.328,Dog
0,696,848,819,829,870,929,-0.765,0.259,-0.631,-5.534,4.115,-17.115,Dog
0,700,842,827,819,871,935,-0.762,0.267,-0.634,-1.351,3.855,-14.229,Dog
