recording_id,time,flex0,flex1,flex2,flex3,flex4,accX,accY,accZ,gyroX,gyroY,gyroZ,label
0,272,855,834,819,875,931,-0.650,0.516,-0.677,4.733,-17.855,-13.626,Bye
0,276,866,847,818,875,946,-0.678,0.529,-0.686,-5.847,-13.237,-20.740,Bye
0,280,865,838,826,876,944,-0.697,0.540,-0.711,-18.916,-10.527,-28.321,Bye
0,284,858,847,820,873,933,-0.713,0.534,-0.732,-28.305,-10.237,-36.641,Bye
0,288,863,842,816,868,923,-0.715,0.543,-0.743,-40.336,-6.649,-47.672,Bye
0,292,859,847,816,870,933,-0.720,0.540,-0.740,-48.802,-3.542,-53.611,Bye
0,296,859,838,820,876,929,-0.724,0.537,-0.741,-56.000,-2.519,-59.618,Bye
0,300,861,848,819,877,935,-0.724,0.514,-0.731,-59.206,-2.023,-66.336,Bye
0,304,855,842,821,876,933,-0.718,0.511,-0.728,-61.305,-2.878,-72.000,Bye
0,308,865,837,821,875,929,-0.708,0.498,-0.710,-58.550,-5.496,-74.176,Bye
0,312,863,833,816,874,932,-0.705,0.501,-0.687,-54.160,-9.015,-69.611,Bye
0,316,859,836,827,874,930,-0.680,0.499,-0.680,-46.664,-10.443,-62.046,Bye
0,320,864,841,815,875,933,-0.668,0.492,-0.657,-38.840,-12.534,-51.557,Bye
0,324,853,834,831,868,942,-0.669,0.498,-0.629,-32.015,-16.893,-40.901,Bye
0,328,867,836,822,874,929,-0.661,0.498,-0.610,-24.954,-23.511,-31.519,Bye
0,332,858,836,819,875,934,-0.650,0.495,-0.603,-18.588,-30.084,-22.046,Bye
0,336,866,846,818,873,935,-0.637,0.505,-0.591,-12.893,-37.115,-8.756,Bye
0,340,859,836,819,880,934,-0.614,0.502,-0.579,-6.053,-42.443,6.229,Bye
0,344,864,837,816,873,932,-0.599,0.483,-0.576,2.282,-44.427,19.099,Bye
0,348,853,832,819,874,940,-0.582,0.484,-0.568,9.084,-44.122,29.374,Bye
0,352,858,834,819,875,943,-0.561,0.483,-0.573,11.695,-40.672,35.435,Bye
0,356,859,833,830,874,925,-0.554,0.489,-0.577,9.565,-35.824,35.832,Bye
0,360,855,837,816,874,943,-0.554,0.477,-0.565,6.550,-31.656,29.977,Bye
0,364,874,830,818,870,935,-0.556,0.482,-0.583,2.756,-27.534,22.679,Bye
0,368,851,843,819,871,929,-0.547,0.487,-0.573,-4.878,-19.771,14.695,Bye
0,372,864,832,819,879,929,-0.542,0.500,-0.588,-11.969,-10.634,9.718,Bye
0,376,834,805,803,870,910,-0.545,0.507,-0.597,-18.198,-1.336,7.901,Bye
0,380,866,833,816,874,939,-0.554,0.517,-0.625,-26.015,8.725,5.802,Bye
0,384,864,833,823,878,938,-0.568,0.516,-0.647,-33.550,20.641,1.504,Bye
0,388,853,826,822,874,926,-0.584,0.514,-0.669,-38.908,33.618,-3.863,Bye
0,392,873,835,824,873,930,-0.609,0.519,-0.705,-45.832,47.817,-8.756,Bye
0,396,863,826,830,877,931,-0.642,0.539,-0.752,-54.550,64.107,-12.511,Bye
0,400,849,833,830,872,917,-0.690,0.552,-0.790,-62.221,77.443,-18.718,Bye
0,404,862,826,817,877,912,-0.742,0.568,-0.833,-74.756,91.038,-27.481,Bye
0,408,859,821,816,871,907,-0.793,0.582,-0.859,-89.481,99.641,-38.008,Bye
0,412,854,817,816,875,912,-0.866,0.589,-0.875,-105.847,99.084,-54.107,Bye
0,416,862,819,818,873,909,-0.890,0.584,-0.875,-120.084,94.435,-72.748,Bye
0,420,861,813,816,877,909,-0.917,0.575,-0.857,-133.206,83.679,-87.351,Bye
0,424,848,823,813,873,908,-0.915,0.562,-0.818,-141.672,67.870,-95.183,Bye
0,428,854,817,811,875,895,-0.897,0.523,-0.765,-142.397,48.244,-98.641,Bye
0,432,853,810,813,879,903,-0.872,0.504,-0.699,-136.595,24.550,-96.748,Bye
0,436,849,814,816,875,902,-0.822,0.481,-0.636,-125.183,-0.573,-85.847,Bye
0,440,860,815,822,872,905,-0.763,0.464,-0.576,-110.015,-23.321,-66.687,Bye
0,444,844,822,811,871,891,-0.688,0.446,-0.521,-89.382,-42.099,-42.924,Bye
0,448,846,817,816,874,895,-0.626,0.433,-0.495,-67.443,-54.893,-15.282,Bye
0,452,847,818,815,871,895,-0.559,0.437,-0.489,-46.588,-58.679,17.710,Bye
